SYMBOL,HIGH,LOW,DAILY RANGE
GULFPETRO,53,48.75,4.25
GULPOLY,52.85,47.95,4.8999977
GVKPIL,4.8,4.55,0.25
HAL,845.5,811.3,34.200012
HARITASEAT,518.95,501.05,17.900024
HARRMALAYA,64.8,62.85,1.9500046
HATHWAY,19.95,19.45,0.5
HATSUN,636.2,617,19.200012
HAVELLS,621.05,611.45,9.599976
HAVISHA,0.8,0.75,0.050000012
HBLPOWER,19.05,18.6,0.44999886
HCC,11.7,11.25,0.4499998
HCG,123.45,115.1,8.349998
HCL-INSYS,7.5,7.25,0.25
HCLTECH,611.5,602.2,9.299988
HDFC,2447.5,2400,47.5
HDFCAMC,3205,3163,42.0
HDFCBANK,1242,1222.25,19.75
HDFCLIFE,611,602.25,8.75
HDFCMFGETF,3635,3611,24.0
HDFCNIFETF,1278.86,1268.7,10.160034
HDFCSENETF,4363.55,4351.3,12.25
HDIL,2.85,2.65,0.19999981
HEG,1097,1065.15,31.849976
HEIDELBERG,202.3,198.55,3.75
HEOF1100RG,9.63,9.63,0.0
HERCULES,102.65,98.25,4.4000015
HERITGFOOD,380.15,366,14.149994
HEROMOTOCO,2510,2470,40.0
HESTERBIO,1638.95,1617,21.949951
HEXATRADEX,13.7,12.5,1.1999998
HEXAWARE,360.85,349,11.850006
HFCL,17.2,16.9,0.30000114
HGINFRA,270.5,263.65,6.850006
HGS,674.4,655.15,19.25
HHOF1140RG,8.86,8.7,0.15999985
HIKAL,133.75,129.25,4.5
HIL,1456,1420,36.0
HILTON,12.85,11.75,1.1000004
HIMATSEIDE,131.65,129.3,2.3499908
HINDALCO,200.4,197.1,3.2999878
HINDCOMPOS,221,207,14.0
HINDCOPPER,45.1,43.9,1.199997
HINDMOTORS,5.7,5.55,0.14999962
HINDNATGLS,38.25,36.8,1.4500008
HINDOILEXP,106.35,104.65,1.699997
HINDPETRO,248.25,241.35,6.899994
HINDSYNTEX,1.7,1.7,0.0
HINDUNILVR,2085.8,2062.05,23.75
HINDZINC,202.75,198,4.75
HIRECT,260.25,243.15,17.100006
HISARMETAL,66,60.15,5.8499985
HITECH,196,184,12.0
HITECHCORP,93,82.25,10.75
HITECHGEAR,194.05,188.75,5.300003
HLVLTD,5.8,5.65,0.1500001
HMT,13.5,13.15,0.35000038
HMVL,81.8,75.35,6.4500046
HNDFDS,658.1,635.6,22.5
HNGSNGBEES,379.77,361,18.769989
HONAUT,28000,27639.95,360.05078
HONDAPOWER,1251.2,1193.6,57.599976
HOVS,49.55,47.8,1.75
HPIL,41.75,41.1,0.6500015
HPL,45.05,43.6,1.4500008
HSCL,68.7,67.1,1.5999985
HSIL,55.5,53.3,2.2000008
HTMEDIA,16.3,16.1,0.19999886
HUBTOWN,13.65,13.05,0.5999994
HUDCO,44.1,43.05,1.0499992
HUDCO,1220.27,1220.02,0.25
HUDCO,1118.01,1117,1.0100098
HUDCO,1099,1080,19.0
HUDCO,1125,1117.5,7.5
HUDCO,1130,1130,0.0
HUDCO,1260,1259.9,0.099975586
HUDCO,1318.99,1311,7.98999
IBMFNIFTY,121.95,117.2,4.75
IBREALEST,113,102.95,10.050003
IBUCCREDIT,865.3,865.3,0.0
